date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:31	95900/95900	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2008:57:34%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.lndax.fun/crs/index151b0.html	(from )
01:57:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2008:57:35%20GMT	https://dc.crsorgi.gov.in.lndax.fun/robots.txt		(from )
01:57:33	4594/4594	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:58%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/favicon.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/favicon.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:34	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/LOO/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:35	234371/234371	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:57%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/banner2.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/banner2.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:36	346742/346742	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jun%202024%2012:08:55%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:36	94546/94546	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jun%202024%2009:13:54%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:36	3853/3853	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:42%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/crs-logo.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:37	5318/5318	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:37%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/emblem.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/emblem.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:37	13650/13650	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:35%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/crs-logo-light.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:37	6340/6340	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jun%202024%2015:18:32%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/azadi_logo_light-min.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/azadi_logo_light-min.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:38	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/LOO/code.jquery.com/jquery-3.7.1.min.js	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:39	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/LOO/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://dc.crsorgi.gov.in.lndax.fun/crs/index1.php?id=353&cont=Anjsjdn)
01:57:39	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Sep%202024%2008:57:43%20GMT	https://dc.crsorgi.gov.in.verifycertificate.co/main-lgo.5285b9350016cf022cc5.png	C:/My%20Web%20Sites/LOO/dc.crsorgi.gov.in.verifycertificate.co/main-lgo.5285b9350016cf022cc5.png	(from https://dc.crsorgi.gov.in.verifycertificate.co/styles.d9a92685a7b2d205a93d.css)
